Months,Product_Code,Price,Demand
31-01-2013,SYNTHETIC_PRODUCT_1159,999,1971
28-02-2013,SYNTHETIC_PRODUCT_1159,1049,1868
31-03-2013,SYNTHETIC_PRODUCT_1159,1099,1782
30-04-2013,SYNTHETIC_PRODUCT_1159,1149,1691
31-05-2013,SYNTHETIC_PRODUCT_1159,1199,1650
30-06-2013,SYNTHETIC_PRODUCT_1159,1249,1492
31-07-2013,SYNTHETIC_PRODUCT_1159,1299,1219
31-08-2013,SYNTHETIC_PRODUCT_1159,1349,912
30-09-2013,SYNTHETIC_PRODUCT_1159,1399,721
31-10-2013,SYNTHETIC_PRODUCT_1159,999,1485
30-11-2013,SYNTHETIC_PRODUCT_1159,1049,1624
31-12-2013,SYNTHETIC_PRODUCT_1159,1099,1744
31-01-2014,SYNTHETIC_PRODUCT_1159,1149,1738
28-02-2014,SYNTHETIC_PRODUCT_1159,1199,1618
31-03-2014,SYNTHETIC_PRODUCT_1159,1249,1512
30-04-2014,SYNTHETIC_PRODUCT_1159,1299,1464
31-05-2014,SYNTHETIC_PRODUCT_1159,1349,1405
30-06-2014,SYNTHETIC_PRODUCT_1159,1399,1237
31-07-2014,SYNTHETIC_PRODUCT_1159,999,1733
31-08-2014,SYNTHETIC_PRODUCT_1159,1049,1427
30-09-2014,SYNTHETIC_PRODUCT_1159,1099,1254
31-10-2014,SYNTHETIC_PRODUCT_1159,1149,1270
30-11-2014,SYNTHETIC_PRODUCT_1159,1199,1374
31-12-2014,SYNTHETIC_PRODUCT_1159,1249,1499
31-01-2015,SYNTHETIC_PRODUCT_1159,1299,1476
28-02-2015,SYNTHETIC_PRODUCT_1159,1349,1308
31-03-2015,SYNTHETIC_PRODUCT_1159,1399,1216
30-04-2015,SYNTHETIC_PRODUCT_1159,999,1943
31-05-2015,SYNTHETIC_PRODUCT_1159,1049,1901
30-06-2015,SYNTHETIC_PRODUCT_1159,1099,1736
31-07-2015,SYNTHETIC_PRODUCT_1159,1149,1486
31-08-2015,SYNTHETIC_PRODUCT_1159,1199,1183
30-09-2015,SYNTHETIC_PRODUCT_1159,1249,1018
31-10-2015,SYNTHETIC_PRODUCT_1159,1299,975
30-11-2015,SYNTHETIC_PRODUCT_1159,1349,1140
31-12-2015,SYNTHETIC_PRODUCT_1159,1399,1268
31-01-2016,SYNTHETIC_PRODUCT_1159,999,1978
29-02-2016,SYNTHETIC_PRODUCT_1159,1049,1906
31-03-2016,SYNTHETIC_PRODUCT_1159,1099,1796
30-04-2016,SYNTHETIC_PRODUCT_1159,1149,1709
31-05-2016,SYNTHETIC_PRODUCT_1159,1199,1628
30-06-2016,SYNTHETIC_PRODUCT_1159,1249,1493
31-07-2016,SYNTHETIC_PRODUCT_1159,1299,1209
31-08-2016,SYNTHETIC_PRODUCT_1159,1349,882
30-09-2016,SYNTHETIC_PRODUCT_1159,1399,731
31-10-2016,SYNTHETIC_PRODUCT_1159,999,1518
30-11-2016,SYNTHETIC_PRODUCT_1159,1049,1651
31-12-2016,SYNTHETIC_PRODUCT_1159,1099,1738
31-01-2017,SYNTHETIC_PRODUCT_1159,1149,1746
28-02-2017,SYNTHETIC_PRODUCT_1159,1199,1624
31-03-2017,SYNTHETIC_PRODUCT_1159,1249,1507
30-04-2017,SYNTHETIC_PRODUCT_1159,1299,1442
31-05-2017,SYNTHETIC_PRODUCT_1159,1349,1392
30-06-2017,SYNTHETIC_PRODUCT_1159,1399,1255
31-07-2017,SYNTHETIC_PRODUCT_1159,999,1748
31-08-2017,SYNTHETIC_PRODUCT_1159,1049,1433
30-09-2017,SYNTHETIC_PRODUCT_1159,1099,1290
31-10-2017,SYNTHETIC_PRODUCT_1159,1149,1293
30-11-2017,SYNTHETIC_PRODUCT_1159,1199,1336
31-12-2017,SYNTHETIC_PRODUCT_1159,1249,1498
31-01-2018,SYNTHETIC_PRODUCT_1159,1299,1465
28-02-2018,SYNTHETIC_PRODUCT_1159,1349,1381
31-03-2018,SYNTHETIC_PRODUCT_1159,1399,1219
30-04-2018,SYNTHETIC_PRODUCT_1159,999,1975
31-05-2018,SYNTHETIC_PRODUCT_1159,1049,1894
30-06-2018,SYNTHETIC_PRODUCT_1159,1099,1773
31-07-2018,SYNTHETIC_PRODUCT_1159,1149,1445
31-08-2018,SYNTHETIC_PRODUCT_1159,1199,1178
30-09-2018,SYNTHETIC_PRODUCT_1159,1249,964
31-10-2018,SYNTHETIC_PRODUCT_1159,1299,999
30-11-2018,SYNTHETIC_PRODUCT_1159,1349,1109
31-12-2018,SYNTHETIC_PRODUCT_1159,1399,1204
31-01-2019,SYNTHETIC_PRODUCT_1159,999,2029
28-02-2019,SYNTHETIC_PRODUCT_1159,1049,1917
31-03-2019,SYNTHETIC_PRODUCT_1159,1099,1774
30-04-2019,SYNTHETIC_PRODUCT_1159,1149,1721
31-05-2019,SYNTHETIC_PRODUCT_1159,1199,1627
30-06-2019,SYNTHETIC_PRODUCT_1159,1249,1467
31-07-2019,SYNTHETIC_PRODUCT_1159,1299,1201
31-08-2019,SYNTHETIC_PRODUCT_1159,1349,890
30-09-2019,SYNTHETIC_PRODUCT_1159,1399,735
31-10-2019,SYNTHETIC_PRODUCT_1159,999,1550
30-11-2019,SYNTHETIC_PRODUCT_1159,1049,1645
31-12-2019,SYNTHETIC_PRODUCT_1159,1099,1743
31-01-2020,SYNTHETIC_PRODUCT_1159,1149,1738
29-02-2020,SYNTHETIC_PRODUCT_1159,1199,1604
31-03-2020,SYNTHETIC_PRODUCT_1159,1249,1502
30-04-2020,SYNTHETIC_PRODUCT_1159,1299,1433
31-05-2020,SYNTHETIC_PRODUCT_1159,1349,1352
30-06-2020,SYNTHETIC_PRODUCT_1159,1399,1193
31-07-2020,SYNTHETIC_PRODUCT_1159,999,1738
31-08-2020,SYNTHETIC_PRODUCT_1159,1049,1439
30-09-2020,SYNTHETIC_PRODUCT_1159,1099,1253
31-10-2020,SYNTHETIC_PRODUCT_1159,1149,1254
30-11-2020,SYNTHETIC_PRODUCT_1159,1199,1413
31-12-2020,SYNTHETIC_PRODUCT_1159,1249,1412
31-01-2021,SYNTHETIC_PRODUCT_1159,1299,1486
28-02-2021,SYNTHETIC_PRODUCT_1159,1349,1370
31-03-2021,SYNTHETIC_PRODUCT_1159,1399,1246
30-04-2021,SYNTHETIC_PRODUCT_1159,999,1979
31-05-2021,SYNTHETIC_PRODUCT_1159,1049,1853
30-06-2021,SYNTHETIC_PRODUCT_1159,1099,1759
31-07-2021,SYNTHETIC_PRODUCT_1159,1149,1466
31-08-2021,SYNTHETIC_PRODUCT_1159,1199,1180
30-09-2021,SYNTHETIC_PRODUCT_1159,1249,998
31-10-2021,SYNTHETIC_PRODUCT_1159,1299,969
30-11-2021,SYNTHETIC_PRODUCT_1159,1349,1116
31-12-2021,SYNTHETIC_PRODUCT_1159,1399,1208
31-01-2022,SYNTHETIC_PRODUCT_1159,999,1945
28-02-2022,SYNTHETIC_PRODUCT_1159,1049,1907
31-03-2022,SYNTHETIC_PRODUCT_1159,1099,1761
30-04-2022,SYNTHETIC_PRODUCT_1159,1149,1707
31-05-2022,SYNTHETIC_PRODUCT_1159,1199,1647
30-06-2022,SYNTHETIC_PRODUCT_1159,1249,1443
31-07-2022,SYNTHETIC_PRODUCT_1159,1299,1224
31-08-2022,SYNTHETIC_PRODUCT_1159,1349,899
30-09-2022,SYNTHETIC_PRODUCT_1159,1399,709
31-10-2022,SYNTHETIC_PRODUCT_1159,999,1553
30-11-2022,SYNTHETIC_PRODUCT_1159,1049,1656
31-12-2022,SYNTHETIC_PRODUCT_1159,1099,1785
31-01-2023,SYNTHETIC_PRODUCT_1159,1149,1731
28-02-2023,SYNTHETIC_PRODUCT_1159,1199,1648
31-03-2023,SYNTHETIC_PRODUCT_1159,1249,1494
30-04-2023,SYNTHETIC_PRODUCT_1159,1299,1496
31-05-2023,SYNTHETIC_PRODUCT_1159,1349,1369
30-06-2023,SYNTHETIC_PRODUCT_1159,1399,1237
31-07-2023,SYNTHETIC_PRODUCT_1159,999,1732
31-08-2023,SYNTHETIC_PRODUCT_1159,1049,1410
30-09-2023,SYNTHETIC_PRODUCT_1159,1099,1239
31-10-2023,SYNTHETIC_PRODUCT_1159,1149,1273
30-11-2023,SYNTHETIC_PRODUCT_1159,1199,1371
31-12-2023,SYNTHETIC_PRODUCT_1159,1249,1485
31-01-2024,SYNTHETIC_PRODUCT_1159,1299,1460
29-02-2024,SYNTHETIC_PRODUCT_1159,1349,1377
31-03-2024,SYNTHETIC_PRODUCT_1159,1399,1238
30-04-2024,SYNTHETIC_PRODUCT_1159,999,1970
31-05-2024,SYNTHETIC_PRODUCT_1159,1049,1946
30-06-2024,SYNTHETIC_PRODUCT_1159,1099,1741
31-07-2024,SYNTHETIC_PRODUCT_1159,1149,1480
31-08-2024,SYNTHETIC_PRODUCT_1159,1199,1157
30-09-2024,SYNTHETIC_PRODUCT_1159,1249,977
31-10-2024,SYNTHETIC_PRODUCT_1159,1299,1017
30-11-2024,SYNTHETIC_PRODUCT_1159,1349,1128
31-12-2024,SYNTHETIC_PRODUCT_1159,1399,1215
31-01-2025,SYNTHETIC_PRODUCT_1159,999,1933
28-02-2025,SYNTHETIC_PRODUCT_1159,1049,1860
31-03-2025,SYNTHETIC_PRODUCT_1159,1099,1800
30-04-2025,SYNTHETIC_PRODUCT_1159,1149,1684
31-05-2025,SYNTHETIC_PRODUCT_1159,1199,1625
30-06-2025,SYNTHETIC_PRODUCT_1159,1249,1478
31-07-2025,SYNTHETIC_PRODUCT_1159,1299,1201
31-08-2025,SYNTHETIC_PRODUCT_1159,1349,895
30-09-2025,SYNTHETIC_PRODUCT_1159,1399,770
31-10-2025,SYNTHETIC_PRODUCT_1159,999,1541
30-11-2025,SYNTHETIC_PRODUCT_1159,1049,1652
31-12-2025,SYNTHETIC_PRODUCT_1159,1099,1715
